"","flower_symmetry","lifespan","life_form","flower_shape","breeding_system","bloom_period_simple","nectar","odour","color","flower_width_midpoint_mm","flower_length_midpoint_mm","style_length_midpoint_mm","plant_height_midpoint_m"
"Leucostele chiloensis","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",85,150,90.4,4.5
"Leucostele terscheckii","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","absent","white",163.8,177.7,153.9,NA
"Lilium auratum","actinomorphic","perennial","herb","open","hermaphrodite","day","present","present","white",140,110,120,2.5
"Lilium formosanum","actinomorphic","perennial","herb","open","hermaphrodite",NA,"present","present","white",110,130,140.5,1.4
"Lonicera etrusca","zygomorphic","perennial","vine","tube","hermaphrodite","night","present","present","white",2.5,32.9,42.7,4
"Lophocereus marginatus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","red",15.7,34.7,22.88,8.5
"Lophocereus schottii","actinomorphic","perennial","herb","tube","hermaphrodite","night","absent","present","pink",6.1,30,50,3
"Luculia pinceana","actinomorphic","perennial","shrub","tube","hermaphrodite",NA,"present","present","pink",30,27.5,33,6
"Luehea seemannii","actinomorphic","perennial","tree","open","monoecious","night","present","present","white",15,7.5,10,22.5
"Luffa acutangula","actinomorphic","short-lived","herb","tube","monoecious","night","present","present","yellow",52.2,11,3.5,NA
"Lyonia lucida","actinomorphic","perennial","shrub","campanulate","hermaphrodite",NA,"present","present","pink",3.5,7,6,3.75
"Mabea fistulifera","actinomorphic","perennial","tree","open","monoecious","night","present","present","red",13,26.6,26.6,6.5
"Macleania bullata","actinomorphic","perennial","shrub","tube","hermaphrodite",NA,"present","absent","orange",5,42,43.8,3
"Malus domestica","actinomorphic","perennial","tree","open","hermaphrodite",NA,"present","present","white",35,15,12.5,3.5
"Mitrastemon yamamotoi","actinomorphic","perennial","herb","open","hermaphrodite",NA,"present","present","white",20,15,25,0.025
"Ipomoea aff. Marcellia","actinomorphic","perennial","vine","tube","hermaphrodite","night","present","present","white",18.42,22.73,42.33,1.75
"Narcissus papyraceus","actinomorphic","perennial","herb","tube","hermaphrodite",NA,"present","present","white",30,14.5,16,0.375
"Nicotiana attenuata","actinomorphic","short-lived","herb","tube","hermaphrodite","night","present","present","white",12.5,35,30,1.25
"Nicotiana rustica","actinomorphic","short-lived","herb","tube","hermaphrodite","day","present","present","yellow",6.9,18,23,1.06135
"Ochroma pyramidale","actinomorphic","perennial","tree","tube","hermaphrodite","night","present","present","white",200,115,150,30
"Oreocereus celsianus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","pink",60,78.1,75,6
"Pachycereus pecten-aboriginum","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",62,77,45,8
"Pachycereus pringlei","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",24.2,102.2,53.2,7
"Pachycereus weberi","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","white",49,102,53,10
"Pedicularis siphonantha","zygomorphic","perennial","herb","papilionaceous","hermaphrodite","day","present","absent","pink",55,50.6,11,0.15
"Phlox drummondii","actinomorphic","short-lived","herb","tube","hermaphrodite","day","present","present","purple",21,15,1.56,0.225
"Pilosocereus chrysacanthus","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","pink",36.41,93.94,75.17,4
"Platanthera hologlottis","zygomorphic","perennial","herb","papilionaceous","hermaphrodite",NA,"present","present","white",11,15,2,0.6
"Plocama calabrica","actinomorphic","perennial","shrub","tube","hermaphrodite","both","present","absent","pink",6.29,14.09,28.33,0.11
"Polaskia chichipe","actinomorphic","perennial","herb","tube","hermaphrodite","day","present","present","green",35,30,14,3
"Prunus persica","actinomorphic","perennial","tree","open","hermaphrodite",NA,"present","present","pink",27.5,15,12,5
"Pseudalcantarea macropetala","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","green",107,30,104,1.525
"Psittacanthus robustus","actinomorphic","perennial","vine","tube","hermaphrodite","day","present","absent","yellow",5,110,100,NA
"Pterocereus gaumeri","actinomorphic","perennial","herb","tube","hermaphrodite","night","present","present","yellow",51,50,40,8
"Randia itatiaiae","actinomorphic","perennial","shrub","tube","monoecious","night","present","present","white",20.8,16.6,13,6.5
"Rubus chamaemorus","actinomorphic","perennial","herb","open","dioecious","day","absent","absent","white",19,2.52,4.39,0.175
