"","study_ID","country","coordinates_lat","coordinates_lon","elevation"
"112","Hernandez-Conrique_2007","Mexico",19.5862521507702,-104.274354847901,1988
"113","Slauson_2000","United States",33.75,-110.966667,1283
"114","Paton_1985","Australia",-33.7826529311146,151.255309983224,38
"115","Rodriguez-Oseguera_2013","Mexico",18.311472,-101.875806,225
"116","Ibarra_2005","Mexico",19.712222,-104.236111,1054
"117","Valiente-Banuet_2007","Mexico",18.4604803054948,-97.4163429298623,1665
"118","Jaca_2020","Canary Islands",28.5687658640548,-16.1595289958617,560
"119","Jabbari_2013","United States",40.5603999489768,-85.6652007582537,246
"120","Suetsugu_2018","Japan",30.3460925113125,130.510995583041,1571
"121","Miyake_1998","Japan",33.6821689096747,130.470232119271,205
"122","Yumoto_2000","Malaysia",4.19845604612712,114.042891122638,97
"123","Reynolds_2009","United States",38.982222,-80.553889,319
"124","Otero-Arnaiz_2003","Mexico",18.1822056181824,-97.479596500759,1923
"125","Gorostiague_2017","Argentina",-26.0055,-65.7872,1524
"126","Rentsch_2014","United States",33.947,-83.409,217
"127","Prieto-Benitez_2016","Spain",40.333889,-3.8825,650
"128","Gimenez_2007","Spain",40,-3,812
"129","Wolff_2003","Ecuador",-3.966667,-79.066667,1949
"130","Haber_1982","Costa Rica",10.416667,-85.116667,48
"131","Perez-Barrales_2010","Spain",37.3815225643024,-5.99155722213194,16
"132","Walter_2010","Chile",-34,-70.7222694171802,484
"133","Stone_2018","United States",37.3595,-80.554,1209
"134","Vieira_1996","Brazil",-20.75,-42.85,722
"135","Hackett_2001","Australia",-29.25,153.366667,7
"136","Hackett_2001","Australia",-28.7970107490813,153.591927681974,8
"137","Sletvold_2012","Norway",62.666667,11.833333,691
"138","Sletvold_2012","Norway",63.05,9.083333,401
"139","Noone_2022","Canada",44.58,-66.76,11
"140","Elam_1988","United States",39.477638472403,-105.372912592741,2462
"141","Fleming_2001","Mexico",28.9557109557109,-111.818181818181,13
"142","Fleming_2001","Mexico",32.2382617382617,-112.881118881118,479
"143","Moreira_2019","Brazil",-22.95,-42.85,1
"144","Shibata_2023","Japan",43.033333,141.516667,83
"145","Holland_2002","Mexico",28.9557109557109,-111.818181818181,13
"146","Holland_2002","Mexico",32.2382617382617,-112.881118881118,479
"147","Martins_2016","Brazil",-18.196731,-43.569094,1345
"148","Martins_2016","Brazil",-18.12025,-43.343583,802
"149","McMullen_2012","Ecuador",-0.478611,-90.168056,10
"150","Marques_2015","Brazil",-21.7579968058356,-43.3506088041035,716
"151","Maruyama_2010","Brazil",-19.155556,-48.388889,827
"152","Martins_2020","Brazil",-18.12025,-43.343583,802
"153","Bellec_2004","France",-21.3209675358044,55.4850199621223,154
"154","McGregor_1962","United States",32.3134126277325,-111.166929240774,784
"155","Wonderlin_2023","United States",42.67,-84.55,267
"156","Wenzell_2021","United States",41.88452417,-89.34327761,228
"157","Wenzell_2021","United States",33.34243,-104.33299,1110
"158","Wenzell_2021","United States",30.486035,-101.788252,764
"159","Wenzell_2021","United States",33.5655,-101.80032,960
"160","Wenzell_2021","United States",33.20647,-98.15727,334
"161","Wenzell_2021","United States",30.276778,-97.8942907,276
"162","Tremlett_2020","Mexico",20.074,-103.55,1424
"163","Hinman_2003","United States",31.9214720247819,-109.138306999513,1440
"164","Barrios_2012","Cuba",23.033333,-81.7,155
