,old_name,plant_species,plant_family,flower_symmetry,lifespan,life_form,ps_pathway,flower_shape,breeding_system,bloom_period,bloom_period_simple,nectar,odour,color,flower_width_midpoint_mm,flower_length_midpoint_mm,style_length_midpoint_mm,plant_height_midpoint_m
115,Stenocereus queretaroensis,Stenocereus queretaroensis,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,white,48,88.77,70.03,10
116,Stenocereus quevedonis,Stenocereus quevedonis,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,white,43,75,40,6
117,Stenocereus stellatus,Stenocereus stellatus,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,night,night,present,present,pink,35,67.5,37.5,4
118,Stenocereus thurberi,Stenocereus thurberi,Cactaceae,actinomorphic,perennial,herb,CAM,tube,hermaphrodite,dusk,night,present,present,white,18.7,79.2,58,3.4
119,Syzygium laetum,Syzygium laetum,Myrtaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,NA,NA,present,present,red,60.3,56.4,44.9,10
120,Syzygium mundagam,Syzygium mundagam,Myrtaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,NA,NA,present,present,white,43.8,37.1,24.8,15
121,Syzygium sayeri,Syzygium sayeri,Myrtaceae,actinomorphic,perennial,tree,C3,brush,hermaphrodite,dawn,day,present,absent,white,4.47,29.48,16.19,22.5
122,Tilia americana,Tilia americana,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,dusk,night,present,present,yellow,12,4,4,27.5
123,Tilia cordata,Tilia cordata,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,dusk,night,present,present,yellow,7,4,4,30
124,Tilia platyphyllos,Tilia platyphyllos,Malvaceae,actinomorphic,perennial,tree,C3,open,hermaphrodite,dusk,night,present,present,yellow,14.5,4,4,30
125,Tillandsia heterophylla,Tillandsia heterophylla,Bromeliaceae,actinomorphic,perennial,herb,C3,tube,hermaphrodite,dusk,night,present,present,white,14,10,70,1.5
126,Tournefortia rufo-sericea,Tournefortia rufo-sericea,Boraginaceae,actinomorphic,perennial,shrub,C3,tube,hermaphrodite,both,both,present,present,white,4,5,2,2.5
127,Trichosanthes anguina,Trichosanthes cucumerina,Cucurbitaceae,actinomorphic,short-lived,herb,C3,tube,monoecious,dusk,night,present,present,white,37.5,27.5,27.5,2.5
128,Trichosanthes kirilowii,Trichosanthes kirilowii,Cucurbitaceae,actinomorphic,short-lived,herb,C3,tube,monoecious,dusk,night,present,present,white,25,12,12,6
129,Trifolium pratense,Trifolium pratense,Fabaceae,zygomorphic,short-lived,herb,C3,papilionaceous,hermaphrodite,both,both,present,present,pink,3.5,16,16,0.5
130,Vaccinium angustifolium,Vaccinium angustifolium,Ericaceae,actinomorphic,perennial,shrub,C3,campanulate,hermaphrodite,both,both,present,present,white,5,5,4,0.325
131,Vitis rotundifolia,Vitis rotundifolia,Vitaceae,actinomorphic,perennial,vine,C3,open,dioecious,NA,NA,present,present,green,3.5,3.5,1,21
132,Yucca aloifolia,Yucca aloifolia,Asparagaceae,actinomorphic,perennial,herb,CAM,campanulate,hermaphrodite,night,night,absent,present,white,55,35,17.5,2
133,Yucca elata,Yucca elata,Asparagaceae,actinomorphic,perennial,herb,CAM,campanulate,hermaphrodite,night,night,absent,present,white,59.5,44.5,10,5
134,Yucca filamentosa,Yucca filamentosa,Asparagaceae,actinomorphic,perennial,herb,C3,campanulate,hermaphrodite,dusk,night,absent,present,white,35,35,25,2.75
135,Fragaria x ananassa,Fragaria ananassa,Rosaceae,actinomorphic,perennial,herb,C3,open,hermaphrodite,NA,NA,present,present,white,31.2,31.2,1,0.2
136,Fontainea picrosperma,Fontainea picrosperma,Euphorbiaceae,actinomorphic,perennial,tree,C3,open,dioecious,both,both,absent,present,white,19.5,6.5,4,25
137,Rubus fruticosus,Rubus fruticosus,Rosaceae,actinomorphic,perennial,shrub,C3,open,hermaphrodite,NA,NA,present,present,white,22.5,7.5,4,2.5
138,Clarkia concinna,Clarkia concinna,Onagraceae,zygomorphic,short-lived,herb,C3,open,hermaphrodite,NA,NA,present,present,pink,56.9,17.5,14.6,0.22
139,Clarkia breweri,Clarkia breweri,Onagraceae,zygomorphic,short-lived,herb,C3,open,hermaphrodite,NA,NA,present,present,pink,48.4,12.5,23.1,0.175
140,Habenaria dentata,Habenaria dentata,Orchidaceae,zygomorphic,perennial,herb,C3,papilionaceous,hermaphrodite,dawn,day,present,absent,white,6.97,44.9,2,0.575
141,Lonicera japonica,Lonicera japonica,Caprifoliaceae,zygomorphic,perennial,vine,C3,tube,hermaphrodite,dusk,night,present,absent,white,15,40,40,10
142,Banksia spinulosa,Banksia spinulosa,Proteaceae,actinomorphic,perennial,shrub,C3,brush,hermaphrodite,NA,NA,present,present,yellow,65,105,22.5,2
