"trait","treatment","linear","delta","QM","QMdf","QMp","QE","QEdf","QEp","r2m","r2c","env","sign"
"Daylength","A) Day vs. open pollination","linear",-0.267,0.158,1,0.691,3198.801,340,0,0.001,0.649,"Environment",""
"Daylength^2","A) Day vs. open pollination","quadratic",-0.39,0.206,2,0.902,3174.198,339,0,0.001,0.652,"Environment",""
"Elevation","Day vs. night","linear",-1.242,0.003,1,0.959,6325.921,398,0,0,0.745,"Environment",""
"Elevation^2","Day vs. night","quadratic",-25.853,24.42,2,0,6148.406,397,0,0.114,0.766,"Environment","*"
"Elevation","B) Night vs. open pollination","linear",-6.553,7.004,1,0.008,2716.373,350,0,0.039,0.704,"Environment","*"
"Elevation^2","B) Night vs. open pollination","quadratic",-26.609,30.047,2,0,2498.899,349,0,0.142,0.72,"Environment","*"
"Elevation","A) Day vs. open pollination","linear",-0.268,0.278,1,0.598,3218.521,340,0,0.001,0.647,"Environment",""
"Elevation^2","A) Day vs. open pollination","quadratic",-5.898,6.042,2,0.049,3218.088,339,0,0.027,0.653,"Environment","*"
"Pollination dependency","Day vs. night","linear",-213.891,2.148,1,0.143,4022.418,329,0,0.009,0.677,"Trait",""
"Pollination dependency^2","Day vs. night","quadratic",-219.497,7.452,2,0.024,3984.249,328,0,0.026,0.673,"Trait","*"
